home_team_fifa_rank,away_team_fifa_rank,home_team_total_fifa_points,away_team_total_fifa_points,home_team_goalkeeper_score,away_team_goalkeeper_score,home_team_mean_defense_score,home_team_mean_offense_score,home_team_mean_midfield_score,away_team_mean_defense_score,away_team_mean_offense_score,away_team_mean_midfield_score,home_team_Algeria,home_team_Angola,home_team_Argentina,home_team_Australia,home_team_Austria,home_team_Belarus,home_team_Belgium,home_team_Bolivia,home_team_Bosnia and Herzegovina,home_team_Brazil,home_team_Bulgaria,home_team_Burkina Faso,home_team_Cabo Verde,home_team_Cameroon,home_team_Canada,home_team_Chile,home_team_China PR,home_team_Colombia,home_team_Congo,home_team_Congo DR,home_team_Costa Rica,home_team_Croatia,home_team_Cyprus,home_team_Czech Republic,home_team_Côte d'Ivoire,home_team_Denmark,home_team_Ecuador,home_team_Egypt,home_team_England,home_team_Finland,home_team_France,home_team_Georgia,home_team_Germany,home_team_Ghana,home_team_Greece,home_team_Guinea,home_team_Honduras,home_team_Hungary,home_team_IR Iran,home_team_Iceland,home_team_Israel,home_team_Italy,home_team_Jamaica,home_team_Japan,home_team_Korea Republic,home_team_Kosovo,home_team_Lithuania,home_team_Mali,home_team_Mexico,home_team_Montenegro,home_team_Morocco,home_team_Netherlands,home_team_New Zealand,home_team_Nigeria,home_team_North Macedonia,home_team_Northern Ireland,home_team_Norway,home_team_Panama,home_team_Paraguay,home_team_Peru,home_team_Poland,home_team_Portugal,home_team_Republic of Ireland,home_team_Romania,home_team_Russia,home_team_Saudi Arabia,home_team_Scotland,home_team_Senegal,home_team_Serbia,home_team_Slovakia,home_team_Slovenia,home_team_South Africa,home_team_Spain,home_team_Sweden,home_team_Switzerland,home_team_Tunisia,home_team_Turkey,home_team_USA,home_team_Ukraine,home_team_United Arab Emirates,home_team_Uruguay,home_team_Venezuela,home_team_Wales,away_team_Algeria,away_team_Angola,away_team_Argentina,away_team_Australia,away_team_Austria,away_team_Belarus,away_team_Belgium,away_team_Benin,away_team_Bolivia,away_team_Bosnia and Herzegovina,away_team_Brazil,away_team_Bulgaria,away_team_Burkina Faso,away_team_Cabo Verde,away_team_Cameroon,away_team_Canada,away_team_Chile,away_team_China PR,away_team_Colombia,away_team_Congo,away_team_Congo DR,away_team_Costa Rica,away_team_Croatia,away_team_Cyprus,away_team_Czech Republic,away_team_Côte d'Ivoire,away_team_Denmark,away_team_Ecuador,away_team_Egypt,away_team_England,away_team_Finland,away_team_France,away_team_Georgia,away_team_Germany,away_team_Ghana,away_team_Greece,away_team_Guinea,away_team_Honduras,away_team_Hungary,away_team_IR Iran,away_team_Iceland,away_team_Israel,away_team_Italy,away_team_Jamaica,away_team_Japan,away_team_Korea Republic,away_team_Kosovo,away_team_Lithuania,away_team_Mali,away_team_Mexico,away_team_Montenegro,away_team_Morocco,away_team_Netherlands,away_team_New Zealand,away_team_Nigeria,away_team_North Macedonia,away_team_Northern Ireland,away_team_Norway,away_team_Panama,away_team_Paraguay,away_team_Peru,away_team_Poland,away_team_Portugal,away_team_Republic of Ireland,away_team_Romania,away_team_Russia,away_team_Saudi Arabia,away_team_Scotland,away_team_Senegal,away_team_Serbia,away_team_Slovakia,away_team_Slovenia,away_team_South Africa,away_team_Spain,away_team_Sweden,away_team_Switzerland,away_team_Tunisia,away_team_Turkey,away_team_USA,away_team_Ukraine,away_team_United Arab Emirates,away_team_Uruguay,away_team_Venezuela,away_team_Wales,home_team_continent_Asia,home_team_continent_Europe,home_team_continent_North America,home_team_continent_Oceania,home_team_continent_South America,away_team_continent_Asia,away_team_continent_Europe,away_team_continent_North America,away_team_continent_Oceania,away_team_continent_South America,home_team_India,away_team_India
6,9,1273,1174,85.0,83.0,77.8,80.0,82.0,82.8,85.0,78.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
8,57,1207,582,83.0,73.0,85.2,84.7,83.2,73.5,72.3,73.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
35,60,713,540,56.0,67.0,71.0,73.3,74.8,75.0,72.3,71.8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,62,1461,1379,80.0,91.0,77.5,77.7,78.2,72.0,78.3,76.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
35,3,650,1506,85.0,79.0,74.2,73.7,75.8,78.2,87.3,81.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
18,46,945,613,74.0,75.0,77.5,75.7,73.5,81.0,75.0,79.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
15,20,1031,907,82.0,77.0,82.0,83.7,81.2,77.5,74.7,76.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
2,5,2164,2124,88.0,89.0,84.0,86.3,86.2,83.5,87.3,85.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
40,9,625,1019,83.0,74.0,82.0,79.7,81.8,73.8,80.0,79.5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
27,18,815,937,82.0,80.0,73.2,76.3,77.2,75.2,81.3,75.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
