Home Team,Away Team,Home Result (W/D/L) ,Mapped_Outcomes
Argentina,Mexico,W,1
Argentina,Saudi Arabia,L,3
Australia,Denmark,W,1
Belgium,Canada,W,1
Belgium,Morocco,L,3
Brazil,Serbia,W,1
Brazil,Switzerland,W,1
Cameroon,Brazil,W,1
Cameroon,Serbia,D,2
Canada,Morocco,L,3
Costa Rica,Germany,L,3
Croatia,Belgium,D,2
Croatia,Canada,W,1
Denmark,Tunisia,D,2
Ecuador,Senegal,L,3
England,Iran,W,1
England,USA,D,2
France,Australia,W,1
France,Denmark,W,1
Germany,Japan,L,3
Ghana,Uruguay,L,3
Iran,USA,L,3
Japan,Costa Rica,L,3
Japan,Spain,W,1
Korea Republic,Ghana,L,3
Korea Republic,Portugal,W,1
Mexico,Poland,D,2
Morocco,Croatia,D,2
Netherlands,Ecuador,D,2
Netherlands,Qatar,W,1
Poland,Argentina,L,3
Poland,Saudi Arabia,W,1
Portugal,Ghana,W,1
Portugal,Uruguay,W,1
Qatar,Ecuador,L,3
Qatar,Senegal,L,3
Saudi Arabia,Mexico,L,3
Senegal,Netherlands,L,3
Serbia,Switzerland,L,3
Spain,Costa Rica,W,1
Spain,Germany,D,2
Switzerland,Cameroon,W,1
Tunisia,Australia,L,3
Tunisia,France,W,1
USA,Wales,D,2
Uruguay,Korea Republic,D,2
Wales,England,L,3
Wales,Iran,L,3
