date,home_team,away_team,home_team_continent,away_team_continent,home_team_fifa_rank,away_team_fifa_rank,home_team_total_fifa_points,away_team_total_fifa_points,tournament,city,country,neutral_location,home_team_goalkeeper_score,away_team_goalkeeper_score,home_team_mean_defense_score,home_team_mean_offense_score,home_team_mean_midfield_score,away_team_mean_defense_score,away_team_mean_offense_score,away_team_mean_midfield_score,group
2022-11-20,Qatar,Ecuador,Asia,South America,50,44,1439.89,1464.39,FIFA World Cup,Al Khor,Qatar,False,77,71,77.5,80.3,77.5,73.5,78.33333333333333,76.0,Group A
2022-11-21,Senegal,Netherlands,Africa,Europe,18,8,1584.38,1694.51,FIFA World Cup,Doha,Qatar,True,83,81,79.5,81.33333333333333,79.0,86.5,83.0,84.5,Group A
2022-11-25,Qatar,Senegal,Asia,Africa,50,18,1439.89,1584.38,FIFA World Cup,Doha,Qatar,False,77,83,77.5,80.3,77.5,79.5,81.33333333333333,79.0,Group A
2022-11-25,Netherlands,Ecuador,Europe,South America,8,44,1694.51,1464.39,FIFA World Cup,Al Rayyan,Qatar,True,81,71,86.5,83.0,84.5,73.5,78.33333333333333,76.0,Group A
2022-11-29,Ecuador,Senegal,South America,Africa,44,18,1464.39,1584.38,FIFA World Cup,Al Rayyan,Qatar,True,71,83,73.5,78.33333333333333,76.0,79.5,81.33333333333333,79.0,Group A
2022-11-29,Netherlands,Qatar,Europe,Asia,8,50,1694.51,1439.89,FIFA World Cup,Al Khor,Qatar,False,81,77,86.5,83.0,84.5,77.5,80.3,77.5,Group A
2022-11-21,England,Iran,Europe,Asia,5,20,1728.47,1564.61,FIFA World Cup,Al Rayyan,Qatar,True,83,73,85.0,88.33333333333333,85.0,70.0,75.33333333333333,71.75,Group B
2022-11-21,USA,Wales,North America,Europe,16,19,1627.48,1569.82,FIFA World Cup,Al Rayyan,Qatar,True,77,74,76.5,77.66666666666667,78.25,75.0,77.66666666666667,78.75,Group B
2022-11-25,Wales,Iran,Europe,Asia,19,20,1569.82,1564.61,FIFA World Cup,Al Rayyan,Qatar,True,74,73,75.0,77.66666666666667,78.75,70.0,75.33333333333333,71.75,Group B
2022-11-25,England,USA,Europe,North America,5,16,1728.47,1627.48,FIFA World Cup,Al Khor,Qatar,True,83,77,85.0,88.33333333333333,85.0,76.5,77.66666666666667,78.25,Group B
2022-11-29,Wales,England,Europe,Europe,19,5,1569.82,1728.47,FIFA World Cup,Al Rayyan,Qatar,True,74,83,75.0,77.66666666666667,78.75,85.0,88.33333333333333,85.0,Group B
2022-11-29,Iran,USA,Asia,North America,20,16,1564.61,1627.48,FIFA World Cup,Doha,Qatar,True,73,77,70.0,75.33333333333333,71.75,76.5,77.66666666666667,78.25,Group B
2022-11-22,Argentina,Saudi Arabia,South America,Asia,3,51,1773.88,1437.78,FIFA World Cup,Lusail,Qatar,True,84,70,82.25,89.0,84.75,72.75,67.66666666666667,72.75,Group C
2022-11-22,Mexico,Poland,North America,Europe,13,26,1644.89,1548.59,FIFA World Cup,Doha,Qatar,True,80,87,78.5,82.66666666666667,81.0,75.25,83.0,77.5,Group C
2022-11-26,Poland,Saudi Arabia,Europe,Asia,26,51,1548.59,1437.78,FIFA World Cup,Al Rayyan,Qatar,True,87,70,75.25,83.0,77.5,72.75,67.66666666666667,72.75,Group C
2022-11-26,Argentina,Mexico,South America,North America,3,13,1773.88,1644.89,FIFA World Cup,Lusail,Qatar,True,84,80,82.25,89.0,84.75,78.5,82.66666666666667,81.0,Group C
2022-11-30,Poland,Argentina,Europe,South America,26,3,1548.59,1773.88,FIFA World Cup,Doha,Qatar,True,87,84,75.25,83.0,77.5,82.25,89.0,84.75,Group C
2022-11-30,Saudi Arabia,Mexico,Asia,North America,51,13,1437.78,1644.89,FIFA World Cup,Lusail,Qatar,True,70,80,72.75,67.66666666666667,72.75,78.5,82.66666666666667,81.0,Group C
2022-11-22,Denmark,Tunisia,Europe,Africa,10,30,1666.57,1507.54,FIFA World Cup,Al Rayyan,Qatar,True,85,77,80.25,77.66666666666667,81.5,70.75,72.33333333333333,75.0,Group D
2022-11-22,France,Australia,Europe,Oceania,4,38,1759.78,1488.72,FIFA World Cup,Al Wakrah,Qatar,True,87,77,84.25,88.66666666666667,86.75,72.0,73.0,73.75,Group D
2022-11-26,Tunisia,Australia,Africa,Oceania,30,38,1507.54,1488.72,FIFA World Cup,Al Wakrah,Qatar,True,77,77,70.75,72.33333333333333,75.0,72.0,73.0,73.75,Group D
2022-11-26,France,Denmark,Europe,Europe,4,10,1759.78,1666.57,FIFA World Cup,Doha,Qatar,True,87,85,84.25,88.66666666666667,86.75,80.25,77.66666666666667,81.5,Group D
2022-11-30,Australia,Denmark,Oceania,Europe,38,10,1488.72,1666.57,FIFA World Cup,Al Wakrah,Qatar,True,77,85,72.0,73.0,73.75,80.25,77.66666666666667,81.5,Group D
