home_team,away_team,home_win_odds,draw_odds,away_win_odds,decimal_odds_home_win,decimal_odds_draw,decimal_odds_away_win,home_win_earnings_per_dollar,draw_earnings_per_dollar,away_win_earnings_per_dollar,implied_probability_of_home_win,implied_probability_of_draw,implied_probability_of_away_win
Argentina,Poland,-227,357,719,1.440528634,3.57,7.19,0.440528634,3.57,719,0.694189602,0.280112045,0.139082058
Argentina,Mexico,-182,295,612,1.549450549,2.95,6.12,0.549450549,2.95,612,0.645390071,0.338983051,0.163398693
Argentina,Saudi Arabia,-833,821,2452,1.120048019,8.21,24.52,0.120048019,8.21,2452,0.892818864,0.12180268,0.040783034
Belgium,Croatia,144,241,202,1.44,2.41,2.02,1.44,2.41,202,0.694444444,0.414937759,0.495049505
Belgium,Morocco,-111,245,351,1.900900901,2.45,3.51,0.900900901,2.45,351,0.526066351,0.408163265,0.284900285
Belgium,Canada,-172,321,492,1.581395349,3.21,4.92,0.581395349,3.21,492,0.632352941,0.31152648,0.203252033
Brazil,Switzerland,-200,328,660,1.5,3.28,6.6,0.5,3.28,660,0.666666667,0.304878049,0.151515152
Brazil,Serbia,-213,357,623,1.469483568,3.57,6.23,0.469483568,3.57,623,0.680511182,0.280112045,0.160513644
Brazil,Cameroon,-278,432,793,1.35971223,4.32,7.93,0.35971223,4.32,793,0.735449735,0.231481481,0.126103405
Canada,Croatia,254,227,123,2.54,2.27,1.23,2.54,2.27,123,0.393700787,0.440528634,0.81300813
Canada,Morocco,378,249,-119,3.78,2.49,1.840336134,3.78,2.49,0.840336134,0.264550265,0.401606426,0.543378995
Denmark,Australia,-233,388,638,1.429184549,3.88,6.38,0.429184549,3.88,638,0.6996997,0.257731959,0.156739812
Denmark,Tunisia,-172,292,557,1.581395349,2.92,5.57,0.581395349,2.92,557,0.632352941,0.342465753,0.179533214
Ecuador,Netherlands,399,244,-120,3.99,2.44,1.833333333,3.99,2.44,0.833333333,0.250626566,0.409836066,0.545454545
Ecuador,Senegal,148,223,208,1.48,2.23,2.08,1.48,2.23,208,0.675675676,0.448430493,0.480769231
England,USA,-208,326,696,1.480769231,3.26,6.96,0.480769231,3.26,696,0.675324675,0.306748466,0.143678161
England,Wales,-233,345,781,1.429184549,3.45,7.81,0.429184549,3.45,781,0.6996997,0.289855072,0.128040973
England,Iran,-263,365,919,1.380228137,3.65,9.19,0.380228137,3.65,919,0.724517906,0.273972603,0.108813928
France,Denmark,-122,260,384,1.819672131,2.6,3.84,0.819672131,2.6,384,0.54954955,0.384615385,0.260416667
France,Australia,-455,580,1286,1.21978022,5.8,12.86,0.21978022,5.8,1286,0.81981982,0.172413793,0.077760498
France,Tunisia,-161,292,501,1.621118012,2.92,5.01,0.621118012,2.92,501,0.616858238,0.342465753,0.199600798
Germany,Japan,-222,384,628,1.45045045,3.84,6.28,0.45045045,3.84,628,0.689440994,0.260416667,0.159235669
Germany,Costa Rica,-1000,1017,2279,1.1,10.17,22.79,0.1,10.17,2279,0.909090909,0.098328417,0.043878894
Ghana,Uruguay,349,282,-127,3.49,2.82,1.787401575,3.49,2.82,0.787401575,0.286532951,0.354609929,0.559471366
Ghana,South Korea,179,213,175,1.79,2.13,1.75,1.79,2.13,175,0.558659218,0.469483568,0.571428571
Iran,USA,318,249,-105,3.18,2.49,1.952380952,3.18,2.49,0.952380952,0.314465409,0.401606426,0.512195122
Iran,Wales,287,218,114,2.87,2.18,1.14,2.87,2.18,114,0.348432056,0.458715596,0.877192982
